日期,股票代码,名称,开盘价,收盘价,最低价,最高价,涨跌幅,成交量,成交金额,前收盘,
2020-06-04,'000001,上证指数,2931.8376,2919.2506,2910.7516,2932.9677,-0.141,226605873,2.5434598448e+11,2923.3711,
2020-06-03,'000001,上证指数,2930.3906,2923.3711,2922.6612,2942.7597,0.0675,255663980,3.00447817007e+11,2921.398,
2020-06-02,'000001,上证指数,2916.3168,2921.398,2909.1277,2926.3588,0.2047,256108049,2.94402745888e+11,2915.4311,
2020-06-01,'000001,上证指数,2871.9641,2915.4311,2871.9641,2917.1508,2.2115,260196050,3.07416215148e+11,2852.3512,
2020-05-29,'000001,上证指数,2835.584,2852.3512,2829.6271,2855.3756,0.2154,206792804,2.33798996643e+11,2846.2217,
2020-05-28,'000001,上证指数,2838.2072,2846.2217,2820.1455,2861.9241,0.332,207546019,2.39234260636e+11,2836.8036,
2020-05-27,'000001,上证指数,2847.3198,2836.8036,2831.9281,2848.9965,-0.3423,198149343,2.27934395739e+11,2846.5473,
2020-05-26,'000001,上证指数,2827.8967,2846.5473,2825.901,2848.3371,1.0141,174562369,2.07427833711e+11,2817.9697,
2020-05-25,'000001,上证指数,2816.241,2817.9697,2802.4653,2821.4978,0.1494,172885557,2.02115352627e+11,2813.7654,
2020-05-22,'000001,上证指数,2863.0462,2813.7654,2808.0177,2863.0462,-1.8884,209063712,2.45229603698e+11,2867.9237,
2020-05-21,'000001,上证指数,2890.7213,2867.9237,2864.2073,2891.5177,-0.5484,203532038,2.50569937553e+11,2883.7378,
2020-05-20,'000001,上证指数,2896.4657,2883.7378,2876.1766,2896.4657,-0.5119,210519985,2.69176553625e+11,2898.576,
2020-05-19,'000001,上证指数,2897.6867,2898.576,2887.5768,2900.2187,0.8054,197222405,2.56277803072e+11,2875.4176,
2020-05-18,'000001,上证指数,2872.5244,2875.4176,2862.2709,2889.9795,0.2426,226022882,2.89089595543e+11,2868.4587,
2020-05-15,'000001,上证指数,2880.7067,2868.4587,2863.3698,2884.2199,-0.0656,188983592,2.4687819108e+11,2870.3422,
2020-05-14,'000001,上证指数,2887.0577,2870.3422,2869.1832,2887.0577,-0.9561,197776202,2.37336974703e+11,2898.0495,
2020-05-13,'000001,上证指数,2882.9552,2898.0495,2875.5354,2900.2587,0.2246,185061310,2.23866906924e+11,2891.5564,
2020-05-12,'000001,上证指数,2894.6171,2891.5564,2871.23,2897.9018,-0.1121,197082985,2.38476218839e+11,2894.802,
2020-05-11,'000001,上证指数,2901.5739,2894.802,2884.3806,2914.2838,-0.0187,225120410,2.71930641512e+11,2895.3444,
2020-05-08,'000001,上证指数,2882.7078,2895.3444,2879.2034,2903.7967,0.8296,226822075,2.7656271695e+11,2871.5232,
2020-05-07,'000001,上证指数,2876.4727,2871.5232,2864.5813,2882.0222,-0.2299,226736957,2.68607485284e+11,2878.1402,
2020-05-06,'000001,上证指数,2831.6326,2878.1402,2830.6536,2879.2634,0.6314,249826616,3.03890031005e+11,2860.0822,
2020-04-30,'000001,上证指数,2832.3843,2860.0822,2832.3843,2865.59,1.3336,242455278,2.77440934007e+11,2822.4424,
2020-04-29,'000001,上证指数,2801.383,2822.4424,2800.7379,2831.7642,0.4419,202061807,2.22720221728e+11,2810.0243,
2020-04-28,'000001,上证指数,2819.9914,2810.0243,2758.2459,2821.745,-0.1943,253872745,2.70534752615e+11,2815.4947,
2020-04-27,'000001,上证指数,2812.2422,2815.4947,2802.9579,2832.6662,0.248,210130981,2.25293706288e+11,2808.5293,
2020-04-24,'000001,上证指数,2834.9387,2808.5293,2802.4989,2834.9387,-1.0558,235185076,2.44122291477e+11,2838.4994,
2020-04-23,'000001,上证指数,2850.5104,2838.4994,2835.8961,2853.6357,-0.1927,248779037,2.62662040532e+11,2843.9804,
2020-04-22,'000001,上证指数,2814.0661,2843.9804,2808.4819,2843.9804,0.6002,217320000,2.3279677775e+11,2827.0133,
2020-04-21,'000001,上证指数,2842.2372,2827.0133,2808.0214,2842.2372,-0.8953,233235870,2.48688585736e+11,2852.5528,
2020-04-20,'000001,上证指数,2840.4085,2852.5528,2833.2615,2852.99,0.4953,211847078,2.33759313193e+11,2838.4945,
2020-04-17,'000001,上证指数,2835.5581,2838.4945,2830.0217,2854.9599,0.6582,245736750,2.8002522914e+11,2819.935,
2020-04-16,'000001,上证指数,2798.4295,2819.935,2796.8388,2823.3382,0.3116,203003773,2.22432600866e+11,2811.1741,
2020-04-15,'000001,上证指数,2826.6618,2811.1741,2808.7039,2829.7503,-0.5698,205621146,2.31631632235e+11,2827.283,
2020-04-14,'000001,上证指数,2794.801,2827.283,2789.4279,2827.2981,1.5895,202696569,2.23605697289e+11,2783.0476,
2020-04-13,'000001,上证指数,2784.5979,2783.0476,2774.0808,2792.8906,-0.4857,177124554,1.8412028414e+11,2796.6312,
2020-04-10,'000001,上证指数,2827.1873,2796.6312,2789.9756,2833.0148,-1.0359,233454768,2.46376307237e+11,2825.9036,
2020-04-09,'000001,上证指数,2825.8393,2825.9036,2820.4326,2832.395,0.3742,238184843,2.47392988029e+11,2815.3686,
2020-04-08,'000001,上证指数,2805.9166,2815.3686,2800.2963,2823.2139,-0.1913,243515305,2.53159668052e+11,2820.7634,
2020-04-07,'000001,上证指数,2806.9676,2820.7634,2801.8386,2823.2767,2.0541,270198186,2.86627794328e+11,2763.9874,
2020-04-03,'000001,上证指数,2773.5764,2763.9874,2754.0731,2780.5868,-0.5988,200837404,2.14062212038e+11,2780.6379,
2020-04-02,'000001,上证指数,2720.2284,2780.6379,2719.9043,2780.6379,1.6865,217864600,2.33111575711e+11,2734.5215,
2020-04-01,'000001,上证指数,2743.5409,2734.5215,2731.0794,2773.3641,-0.5736,217253427,2.25624646572e+11,2750.2962,
2020-03-31,'000001,上证指数,2767.3072,2750.2962,2743.1154,2771.1683,0.1122,218598674,2.24271061569e+11,2747.2138,
