日期,股票代码,名称,开盘价,收盘价,最低价,最高价,涨跌幅,成交量,成交金额,前收盘
2020-6-12,'601318,中国平安,73.1,74.15,72.97,74.15,-0.0943,48825871,3587207261,74.22
2020-6-11,'601318,中国平安,75.21,74.22,73.8,75.47,-1.7994,58611342,4367908974,75.58
2020-6-10,'601318,中国平安,76.58,75.58,75.47,76.7,-1.2026,34545292,2619976605,76.5
2020-6-9,'601318,中国平安,76.73,76.5,76.32,77.18,-0.2868,38851680,2977854246,76.72
2020-6-8,'601318,中国平安,75.7,76.72,75.7,77.22,1.8858,76697448,5884341883,75.3
2020-6-5,'601318,中国平安,75.14,75.3,74.4,75.44,0.2129,34980754,2618665525,75.14
2020-6-4,'601318,中国平安,75.42,75.14,74.58,75.71,0.1733,45388022,3410379332,75.01
2020-6-3,'601318,中国平安,75,75.01,75,76.69,0.9828,99148840,7515763784,74.28
2020-6-2,'601318,中国平安,72.02,74.28,72.01,74.53,2.9379,81052327,5968449049,72.16
2020-6-1,'601318,中国平安,71.4,72.16,71.23,72.23,2.0506,45767284,3296218949,70.71
2020-5-29,'601318,中国平安,70.9,70.71,70.48,71.3,-1.1187,26844115,1901686644,71.51
2020-5-28,'601318,中国平安,70.68,71.51,70.68,71.99,1.2173,41426045,2961421771,70.65
2020-5-27,'601318,中国平安,70.72,70.65,70.52,71.58,0.1986,28715214,2036204894,70.51
2020-5-26,'601318,中国平安,70.99,70.51,70.32,71,0.6854,27112848,1912577654,70.03
2020-5-25,'601318,中国平安,70,70.03,69,70.08,-0.1284,41710115,2901602627,70.12
2020-5-22,'601318,中国平安,72.06,70.12,70.1,72.1,-3.1224,57719422,4091224714,72.38
2020-5-21,'601318,中国平安,73.2,72.38,72.36,73.3,-0.7814,31268623,2277526278,72.95
2020-5-20,'601318,中国平安,73,72.95,72.5,73.19,0.0686,27483484,2000585096,72.9
2020-5-19,'601318,中国平安,73.18,72.9,72.61,73.6,0.9695,34158323,2493797102,72.2
2020-5-18,'601318,中国平安,72.2,72.2,71.69,72.98,-0.0415,30846266,2228956647,72.23
2020-5-15,'601318,中国平安,72.61,72.23,72.18,73.1,0,31750730,2301777679,72.23
2020-5-14,'601318,中国平安,73,72.23,72.17,73,-1.5135,34971511,2535717394,73.34
2020-5-13,'601318,中国平安,73.6,73.34,72.65,73.93,-0.7981,28897035,2118699108,73.93
2020-5-12,'601318,中国平安,73.9,73.93,73.47,74.33,0.0406,41545036,3071895578,73.9
2020-5-11,'601318,中国平安,73.11,73.9,73.11,74.8,1.2745,49575731,3677832430,72.97
2020-5-8,'601318,XD中国平,72.8,72.97,72.06,73.29,1.4317,40471960,2944390962,71.94
2020-5-7,'601318,中国平安,73.7,73.23,72.81,73.7,-0.7858,40312289,2946802572,73.81
2020-5-6,'601318,中国平安,73.3,73.81,72.9,73.98,-0.873,62916787,4613009932,74.46
2020-4-30,'601318,中国平安,74.46,74.46,74.21,75.3,0.6216,48625473,3635525684,74
2020-4-29,'601318,中国平安,72.38,74,72.38,74.2,2.2382,53115638,3917886431,72.38
2020-4-28,'601318,中国平安,71.5,72.38,70.97,72.68,1.6573,61387427,4420134600,71.2
2020-4-27,'601318,中国平安,70.62,71.2,70.62,71.61,0.9929,48152784,3433518802,70.5
2020-4-24,'601318,中国平安,71.03,70.5,70.3,71.03,-2.3004,66711619,4705918849,72.16
2020-4-23,'601318,中国平安,72.39,72.16,71.82,72.8,0.1249,32966612,2379812928,72.07
2020-4-22,'601318,中国平安,72,72.07,71.48,72.07,-0.4145,37767315,2709336486,72.37
2020-4-21,'601318,中国平安,73.05,72.37,71.51,73.48,-1.5374,56898431,4118269231,73.5
2020-4-20,'601318,中国平安,72.89,73.5,72.1,73.8,1.5193,65419398,4785645886,72.4
2020-4-17,'601318,中国平安,71.1,72.4,70.79,73.32,2.8701,90367948,6519197379,70.38
2020-4-16,'601318,中国平安,70.5,70.38,70.16,70.71,-0.6634,28294260,1992746679,70.85
2020-4-15,'601318,中国平安,71.07,70.85,70.65,71.38,-0.2394,38151523,2707408704,71.02
2020-4-14,'601318,中国平安,70.68,71.02,70.25,71.17,1.2691,42969677,3041154493,70.13
2020-4-13,'601318,中国平安,70.45,70.13,70,70.79,-1.2114,35516987,2495812251,70.99
2020-4-10,'601318,中国平安,69.65,70.99,69.38,72.43,1.9385,76624962,5445247152,69.64
2020-4-9,'601318,中国平安,69.65,69.64,69.38,69.96,0.3603,36830815,2567770387,69.39
2020-4-8,'601318,中国平安,69.57,69.39,69.32,69.8,-0.8289,36245867,2521691766,69.97
2020-4-7,'601318,中国平安,70.08,69.97,69.56,70.3,1.612,61934765,4330830271,68.86
2020-4-3,'601318,中国平安,69.1,68.86,68.41,69.26,-1.1626,42025417,2892833242,69.67
2020-4-2,'601318,中国平安,68.4,69.67,67.76,69.67,0.5049,51202929,3512800754,69.32
2020-4-1,'601318,中国平安,69,69.32,68.9,70.47,0.2169,55692869,3887226530,69.17
2020-3-31,'601318,中国平安,70.11,69.17,69.01,70.35,0.0289,42536786,2967824565,69.15
2020-3-30,'601318,中国平安,68.6,69.15,68.45,69.39,-0.8176,46795596,3222983516,69.72
2020-3-27,'601318,中国平安,71.25,69.72,69.72,71.29,-0.6696,60308423,4246255802,70.19
2020-3-26,'601318,中国平安,69.48,70.19,69.35,71,-0.2274,54986973,3859228586,70.35
2020-3-25,'601318,中国平安,70.6,70.35,69.88,71.23,2.0305,92818620,6547779490,68.95
2020-3-24,'601318,中国平安,67.95,68.95,67.82,69.05,3.2804,79163320,5419438569,66.76
2020-3-23,'601318,中国平安,66,66.76,66,67.5,-3.2464,68407966,4566662467,69
2020-3-20,'601318,中国平安,68.71,69,67.35,69.4,1.7549,88726935,6081161074,67.81
2020-3-19,'601318,中国平安,69.1,67.81,66.32,69.87,-2.9483,123676064,8385522982,69.87
2020-3-18,'601318,中国平安,72.53,69.87,69.85,72.88,-3.1467,85218111,6077848896,72.14
2020-3-17,'601318,中国平安,71.65,72.14,70.89,73,0.1944,95092287,6841593561,72
2020-3-16,'601318,中国平安,74.5,72,71.8,74.52,-3.6274,97917345,7135463717,74.71
2020-3-13,'601318,中国平安,72.14,74.71,72.1,75.98,-2.531,116615744,8615758935,76.65
2020-3-12,'601318,中国平安,77.25,76.65,76.53,77.48,-1.9194,90129053,6925926414,78.15
2020-3-11,'601318,中国平安,79.18,78.15,78.15,79.25,-1.3008,59140393,4645175644,79.18
